"disciplina_id","1 - as VA utilizaram slides com textos e imagens que favoreceram a aprendizagem.","2 - as VA utilizaram materiais relevantes e atualizados que geram engajamento.","3 - as VA foram objetivas e aproveitaram bem o tempo.","4 - as VA foram ministradas com boa dicção, clareza e segurança na exposição dos conteúdos.","5 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","6 - as AC favoreceram a colaboração, induzindo a troca de conhecimentos e experiências entre os alunos.","7 - as AC foram compatíveis com o tempo disponível.","8 - as AC foram relevantes para a compreensão dos conteúdos.","9 - as AC contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","10 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","11 - as AI favoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma.","12 - as AI foram compatíveis com o tempo disponível.","13 - as AI foram relevantes para a compreensão do conteúdo.","14 - as AI contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","15 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","16 - os FD foram abertos com questões geradoras de discussões ricas e relevantes.","17 - os FD foram bem conduzidos e avaliados, com intervenções que proporcionaram a sua aprendizagem.","18 - os FD contaram com materiais e orientações suficientes para a sua participação.","19 - os FD foram devidamente finalizados, com destaques para os principais conteúdos e participações da turma.","20 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","21 - os WB esclareceram suas dúvidas por meio de uma interação ao vivo.","22 - os WB forneceram feedbacks sobre o andamento da disciplina e o desempenho da turma.","23 - os WB colaboraram com a sua aprendizagem.","24 - os WB desempenharam papel importante na revisão dos conteúdos para as Avaliações Presenciais.","25 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","26 - as AS contiveram questões condizentes com o conteúdo ministrado.","27 - as AS foram compatíveis com o tempo disponível.","28 - as AS priorizaram a construção do conhecimento em detrimento da memorização.","29 - as AS apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina.","30 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","31 - as SV disponibilizaram de forma apropriada o plano de ensino e as informações sobre conteúdos, objetivos, metodologia e critérios de avaliação da disciplina.","32 - as SV atenderam às suas necessidades de aprendizagem, apresentando um formato intuitivo e didático.","33 - as SV foram dinâmicas e devidamente atualizadas durante a disciplina.","34 - as SV viabilizam a articulação entre a teoria X prática dos conteúdos.","35 - as SV foram ambientes de interações respeitosas e éticas entre alunos e professores.","36 - as SV relacionaram os conteúdos das disciplinas com a atuação profissional.","37 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","polo","curso","nome"
"","Concordo plenamente","Concordo plenamente","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","IZABEL CAMPOS FERREIRA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Jequitinhonha","[D17] - Linguística - Letras Português","DEBORA FERREIRA DA SILVA"
"","Concordo","Concordo","Concordo","Discordo","Bom dia. No meu entendimento alguns professores até dominam o conteúdo da disciplina,porém não sabem transmitir para o aluno.","Concordo","Discordo","Concordo","Discordo","Acho o tempo de postagem muito pouco,deveriam deixar para postar no outro dia para que possamos apresentar a atividade proposta com tranquilidade.Tem alguns professores que não explicam com clareza o que querem que façamos nas Atividades Colaborativas,são confusos. E peço atenção dos professores nas notas das AC e AI estão demorando bastante,já nos manifestamos com a Tutora e coordenadora e até hoje nada de resolverem.","Discordo","Concordo","Discordo","Discordo","Discordo pois alguns professores estão pedindo nas AI a mesma atividade que foi propostas nos AC presenciais fazem uma cópia das AC e postam para fazermos nas AI, ou seja se nos encontros presenciais ja fizemos e apresentamos as AC pra que pedir a mesma coisa ?","Discordo","Concordo","Não concordo nem discordo","Concordo","Eu concordo com algumas coisas,porém discordo quando alguns fóruns propostos deixam de ser para discussão interação e se tornam uma AI,pelo menos fica parecendo uma AI, ao m eu ver.","Concordo","Concordo","Concordo","Não concordo nem discordo","Quanto a WB nas avaliações presenciais,teve um professor que elaborou a WB com base nas videoaulas dadas por ele, se se quer tocar no assunto Apostila, e elaborou a avaliação presencial com base somente na apostila,teve assunto na avaliação que ele se quer mencionou em sua aulas,todos os alunos presentes na prova pensou que se tratava de uma outra disciplina.E discordo do horário das WB muitos não podem estar presentes e não podem participar.","Discordo","Concordo","Não concordo nem discordo","Concordo","Como eu disse anteriormente,alguns professores sugerem estudar pelas videoaulas e usam apenas as apostilas","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Neste caso nem concordo nem discordo,pois tem professores que não consegue transmitir o que sabe ao aluno, alguns educadores na maioria das vezes pedem que façamos duas vezes a mesma atividade.","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","ARLETE DE JESUS BRAGA BARBOSA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","ROSIMILLA CARNEIRO DE LIMA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Discordo totalmente","AS avaliações muitas vezes trazem conteúdos que são complexos e além do que vimos por vídeo aula.","Não concordo nem discordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","Elias Martins Souza"
"","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Concordo","Concordo plenamente","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo plenamente","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","Concordo plenamente","Concordo","sem resposta","Montes Claros/2","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","JAQUELINE AZEVEDO SANTOS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Concordo","Concordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","ANTONIO PEREIRA DE OLIVEIRA"
"","Concordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Discordo","Discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo plenamente","Discordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Jequitinhonha","[D17] - Linguística - Letras Português","ERLANA CHAVES TEIXEIRA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Discordo","Discordo","Alguns materiais disponíveis para auxilia nas AI, vieram ilegíveis, ou a proposta era muito extensa e fugia do assunto.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Jequitinhonha","[D17] - Linguística - Letras Português","LUNA NEGREIRO GUSMAO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Montes Claros","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","TIAGO MATEUS LACERDA DE FREITAS"
