"disciplina_id","1 - as VA utilizaram slides com textos e imagens que favoreceram a aprendizagem.","2 - as VA utilizaram materiais relevantes e atualizados que geram engajamento.","3 - as VA foram objetivas e aproveitaram bem o tempo.","4 - as VA foram ministradas com boa dicção, clareza e segurança na exposição dos conteúdos.","5 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","6 - as AC favoreceram a colaboração, induzindo a troca de conhecimentos e experiências entre os alunos.","7 - as AC foram compatíveis com o tempo disponível.","8 - as AC foram relevantes para a compreensão dos conteúdos.","9 - as AC contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","10 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","11 - as AI favoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma.","12 - as AI foram compatíveis com o tempo disponível.","13 - as AI foram relevantes para a compreensão do conteúdo.","14 - as AI contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","15 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","16 - os FD foram abertos com questões geradoras de discussões ricas e relevantes.","17 - os FD foram bem conduzidos e avaliados, com intervenções que proporcionaram a sua aprendizagem.","18 - os FD contaram com materiais e orientações suficientes para a sua participação.","19 - os FD foram devidamente finalizados, com destaques para os principais conteúdos e participações da turma.","20 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","21 - os WB esclareceram suas dúvidas por meio de uma interação ao vivo.","22 - os WB forneceram feedbacks sobre o andamento da disciplina e o desempenho da turma.","23 - os WB colaboraram com a sua aprendizagem.","24 - os WB desempenharam papel importante na revisão dos conteúdos para as Avaliações Presenciais.","25 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","26 - as AS contiveram questões condizentes com o conteúdo ministrado.","27 - as AS foram compatíveis com o tempo disponível.","28 - as AS priorizaram a construção do conhecimento em detrimento da memorização.","29 - as AS apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina.","30 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","31 - as SV disponibilizaram de forma apropriada o plano de ensino e as informações sobre conteúdos, objetivos, metodologia e critérios de avaliação da disciplina.","32 - as SV atenderam às suas necessidades de aprendizagem, apresentando um formato intuitivo e didático.","33 - as SV foram dinâmicas e devidamente atualizadas durante a disciplina.","34 - as SV viabilizam a articulação entre a teoria X prática dos conteúdos.","35 - as SV foram ambientes de interações respeitosas e éticas entre alunos e professores.","36 - as SV relacionaram os conteúdos das disciplinas com a atuação profissional.","37 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","polo","curso","nome"
"","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo plenamente","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","LUCIENE NERES LOPES ANTUNES"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Belo Horizonte/Contagem","[D15] - Metodologia do Futsal - Educação Física","TIAGO SIRQUEIRA SALOMÃO"
"","Concordo","Concordo","Concordo","Concordo","ok, esta tudo bom","Concordo","Concordo plenamente","Concordo","Concordo","ok, nada a reclamar","Concordo","Concordo plenamente","Concordo","Concordo","ok esta certo","Concordo","Concordo","Concordo","Concordo","ok nada a declara","Concordo plenamente","Concordo","Concordo","Concordo plenamente","ok esta tudo bom","Concordo","Concordo","Concordo","Concordo","ok esta tranquilo","Concordo","Concordo","Concordo","Concordo","Concordo plenamente","Concordo plenamente","ok, perfeito","Urucuia","[D15] - Metodologia do Futsal - Educação Física","Maike Thelison de Oliveira Lima"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Discordo","Não concordo nem discordo","Discordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","THIAGO RIBEIRO SOARES"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Itamarandiba","[D17] - Linguística - Letras Português","Bruna Martins Souza Da Silva"
"","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo com a maioria ,mais acho que poderiam ser mais dinâmicas ,algumas aulas da sono.","Concordo","Concordo","Concordo","Não concordo nem discordo","É muito relativo ,depende muito de cada matéria e professor.","Concordo","Não concordo nem discordo","Concordo","Concordo","Tudo certo .","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Acho pouco produtivo.","Concordo","Concordo","Concordo","Concordo","Na maioria das vezes pra mim ajudou apesar de algumas vezes não responder todo os questionamentos.","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","LEONARDO ARAÚJO E SILVA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","QUEILIANE FERNANDES DE SOUZA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","ALEXANDRE CAVALCANTI MASSIÈRE"
"","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Discordo totalmente","Discordo totalmente","Concordo","sem resposta","Discordo totalmente","Discordo totalmente","Concordo plenamente","Discordo totalmente","sem resposta","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Impossível participar porque os horários não coincidem com minha disponibilidade.","Concordo","Não concordo nem discordo","Discordo totalmente","Discordo totalmente","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","RAIMUNDO DUARTE JUNIOR"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","WEBERSON LUCAS DE SOUZA"
"","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo plenamente","Concordo","Concordo plenamente","Acho importante que após as provas presenciais seja postado o gabarito.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Itamarandiba","[D17] - Linguística - Letras Português","SELMA LUCIENE GONÇALVES"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","algumas WB os professores deixam a desejar ficam à espera de perguntas dos alunos e não fazem revisão necessária. O horário da WB não é compatível com os horários de trabalho dos alunos, impossibilitando a participação em tempo real.","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Itamarandiba","[D17] - Linguística - Letras Português","Sueli De Fátima Pereira Amorim"
"","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Jequitinhonha","[D17] - Linguística - Letras Português","GILMÁRIO VIANA"
"","Concordo","Concordo","Concordo","Concordo","As filmagens foca demais no professor e esquece o slide, nao preciso nem ver o professor mas o slide é de extrema importancia uma vez que vou acompanhar o slide pela voz do professor.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","DENES RIBEIRO DOS REIS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Mantena","[D17] - Linguística - Letras Português","JORGINETE CHANCA DOS SANTOS"
"","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","LUCAS FERNANDES MOREIRA"
"","Concordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Discordo totalmente","Discordo totalmente","Discordo","Discordo","sem resposta","Discordo","Discordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","LORENNA DE OLIVEIRA GARCIA LEÃO RIBEIRO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","O tempo dado para as Atividades Colaborativas é pouco, visto que, temos vários problemas com o sinal da internet no polo. Principalmente quando a Atividade Colaborativa é mais complexa.","Concordo","Concordo","Concordo","Concordo","Em relação as Atividade Individuais a maioria são tranquilas de fazer e o tempo é bom, mas tem outras que precisamos de ler vários textos e infelizmente não tenho todo o tempo disponível, sugiro que, quando for necessário ler vários textos recomendado pelos professores virtuais, aumentar o tempo disponível.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","Edvânia Maria Silva"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Pompéu","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","OTÁVIO AUGUSTO CAMPOS AFONSO"
"","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo plenamente","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","PRISCILA FERREIRA DAS NEVES"
"","Concordo","Concordo","Concordo","Concordo","material de ensino muito bom","Concordo","Concordo","Concordo","Concordo","ótimo material de ensino","Concordo","Discordo","Concordo","Concordo","ótimo material de ensino","Concordo","Concordo","Concordo","Concordo","ótimo material de ensino","Concordo","Concordo","Concordo","Concordo","ótimo material de ensino","Concordo","Concordo","Concordo","Concordo","ótimo material de ensino","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","ótimo material de ensino","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","LUCAS FIUZA SILVA"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","ETIEME NUNES DE SOUZA"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Está sendo uma experiência nova para mim.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Contribui muito para o aprendizado","Concordo plenamente","Concordo plenamente","Concordo","Discordo","As vezes o objetivo não são muito claros em algumas AI","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Os Fóruns são muito bem elaborados e enriquecidos para a apredizagem","Concordo","Concordo","Concordo","Concordo","Muitas vezes não participo devido ao horário que coincide com o meu horário de trabalho. Mas é muito importante para a Avaliação Presencial.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","ALEXANDRA NASCIMENTO DA COSTA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo plenamente","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","Rosenice Campos da Silva"
"","Concordo","Não concordo nem discordo","Concordo","Concordo","Não tenho o quê reclamar das VAs até o presente momento.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","As Acs na grande maioria das vezes não tem o conteúdo no material de referência, precisando recorrer a internet, que também não é de boa qualidade.","Não concordo nem discordo","Concordo","Discordo","Concordo","Sobre as AI é uma reclamação desde que iniciou o curso ead e até o presente momento ninguém solucionou o problema. Não temos o feedback das atividades, são avaliadas, não corrigidas... Não sei o quê errei, so tenho minha nota. Logo não sei se aquilo q respondi foi o compreendido. Sempre reclamei e não obtive nenhuma resposta.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Sobre os FD não concordo nem discordo. Não são avaliados, so dão notas... Não sei sabemos se estamos falando a mesma linguagem...","Discordo","Discordo","Discordo","Discordo","Outra reclamação importante que a EAD ignora por parte dos responsáveis. Se eu não sei o quê errei nas atividades como vou participar para tirar as dúvidas? Cansei de reclamar e nada... O horário da webinar é improvável, horário comercial, impossível a participação da grande maioria que trabalha. Sem contar quando colocam a webinar antes da última atividade individual, véspera da avaliação. Impossível mesmo. Isso é desgastante... Várias reclamações e nada... Não funciona.","Discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","As Avaliações contém questões que não compete com a quantidade de linhas que disponibiliza a ead. Questões que não contém no conteúdo estudado e questões que poderíamos ter solucionados na webinar, se a mesma fosse no horário apropriado. Muita cobrança e nada de solucionar as reclamações.","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Ainda não adaptei ao SV, admito que a presença do professor para esclarecimentos das dúvidas durante as falas é importante.","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","Gislane Rodrigues Gonçalves"
"","Concordo plenamente","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo plenamente","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo plenamente","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Não concordo nem discordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo plenamente","Concordo plenamente","sem resposta","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","DANIELE LIMA DA FONSECA"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Discordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Itamarandiba","[D17] - Linguística - Letras Português","RAQUEL TEREZINHA MOREIRA SOUSA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","YGOR DURAES CAMPOS"
"","Concordo","Concordo","Concordo","Concordo","Bom dia sobre o questionário,é muito interessante,obter as informações necessárias,para obter as melhoras para nós alunos.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","BRUNO HENRIQUE BRITO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","TAMIRIS SANTOS CUSTODIO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","EVANEIA PEREIRA DOS SANTOS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","CRISTIANE ANTUNES DOS SANTOS OLIVEIRA"
"","Concordo","Concordo","Concordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","DÉLIO MIGUEL GUIMARÃES"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Discordo","Concordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","Adelaide Junia dos Santos Rodrigues"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","EDIOMAR DA SILVA VIEIRA"
"","Concordo","Discordo","Discordo","Concordo","sem resposta","Concordo plenamente","Discordo totalmente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Discordo totalmente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Discordo","Discordo","sem resposta","Discordo","Discordo totalmente","Discordo","Discordo","Concordo plenamente","Discordo totalmente","sem resposta","Brasília de Minas","[D16] - Desenvolvimento de Sites para WEB - Sistemas para Internet","NAYARA MOTA SOARES"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo e nem discordo,embora pra mim os WB não consigo acessar,porque é em horário em que estou no trabalho.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Montes Claros/1","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","MARLENE SOARES RAMOS PEREIRA"
